Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2026,9931.29,9951.14,10046.25,9930.76,604307136
02-Jan-2026,9931.29,9951.14,10046.25,,604307136
02-Jan-2026,9931.29,9951.14,10046.25,9930.76,604307136
05-Jan-2026,9951.45,10004.57,10022.05,9951.45,708341696
06-Jan-2026,10004.40,10122.73,10158.41,10003.77,701826240
07-Jan-2026,10122.76,10048.21,10124.75,,694476352
08-Jan-2026,10048.36,10044.69,10059.42,9995.91,746522368
09-Jan-2026,10044.70,10124.60,10135.70,10032.92,711367424
12-Jan-2026,10124.47,10140.70,10149.71,10089.93,636495808
13-Jan-2026,10140.70,10137.35,10152.48,10097.14,936639872
14-Jan-2026,10137.31,10184.35,10184.35,10135.35,678196864
15-Jan-2026,10184.39,10238.94,10250.45,10173.53,1026439296
16-Jan-2026,10238.94,10235.29,10257.75,10212.78,864893824
19-Jan-2026,10235.31,10195.35,10235.31,10166.27,622507200
20-Jan-2026,10195.16,10126.78,10195.16,10050.22,912857600
21-Jan-2026,10126.88,10138.09,10161.54,10093.67,748346752
22-Jan-2026,10138.09,10150.05,10226.54,10138.09,776843840
23-Jan-2026,10150.05,10143.44,10184.14,10131.83,607127936
26-Jan-2026,10143.14,10148.85,10184.90,10125.28,650188608
27-Jan-2026,10148.98,10207.80,10228.16,10147.48,746946688
28-Jan-2026,10207.63,10154.43,10225.52,10144.65,776019584
29-Jan-2026,10154.18,10171.76,10277.72,10154.17,727952000
30-Jan-2026,10171.80,10223.54,10234.01,10141.61,826892160
02-Feb-2026,10223.72,10341.56,10345.48,10145.36,921636544
03-Feb-2026,10341.32,10314.59,10373.28,10232.19,863757376
04-Feb-2026,10314.50,10402.34,10481.54,10307.97,924871424
05-Feb-2026,10402.55,10309.22,10404.03,10289.29,1255052416
06-Feb-2026,10309.05,10369.75,10380.52,10253.15,734227200
09-Feb-2026,10369.83,10386.23,10420.27,10315.99,1012882944
10-Feb-2026,10386.22,10353.84,10402.19,10330.81,987516672
11-Feb-2026,10353.82,10472.11,10493.83,10353.80,924867968
12-Feb-2026,10472.17,10402.44,10535.76,10391.98,957052544
13-Feb-2026,10402.48,10446.35,10454.54,10380.87,1393053824
16-Feb-2026,10446.25,10473.69,10490.09,10446.25,523718176
17-Feb-2026,10474.04,10556.17,10556.17,10472.66,643761280
18-Feb-2026,10555.99,10686.18,10715.77,10553.95,1077007616
19-Feb-2026,10686.37,10627.04,10687.36,10597.58,1098862848
20-Feb-2026,10627.04,10686.89,10745.76,10626.69,793428608
23-Feb-2026,10686.75,10684.74,10738.65,10660.03,695518400
24-Feb-2026,10684.85,10680.59,10717.72,10645.82,972223936
25-Feb-2026,10680.65,10806.41,10806.41,10680.65,1217656320
26-Feb-2026,10806.37,10846.70,10856.80,10770.78,821951232
27-Feb-2026,10846.87,10910.55,10934.94,10845.50,1508301312
02-Mar-2026,10910.98,10780.11,10910.98,10731.87,0
03-Mar-2026,10780.25,10484.13,10780.25,10406.14,0
04-Mar-2026,10483.91,10567.65,10588.80,10443.49,0
05-Mar-2026,10567.72,10413.94,10636.06,10402.03,0
06-Mar-2026,10413.64,10284.75,10481.05,10234.52,0
09-Mar-2026,10284.96,10249.52,10284.96,10081.98,0
10-Mar-2026,10249.17,10412.24,10447.53,10235.36,0
11-Mar-2026,10412.32,10353.77,10412.32,10293.80,0
12-Mar-2026,10353.81,10305.15,10355.26,10258.43,0
13-Mar-2026,10305.48,10261.15,10367.36,10200.21,0
16-Mar-2026,10261.10,10317.69,10376.48,10255.34,0
17-Mar-2026,10317.63,10403.60,10436.09,10317.63,0
18-Mar-2026,10403.54,10305.29,10447.70,10279.06,0
19-Mar-2026,10305.61,10063.50,10305.61,9997.41,0
20-Mar-2026,10063.25,9918.33,10127.56,9915.70,0
23-Mar-2026,9918.48,9894.15,10036.65,9670.46,0
24-Mar-2026,9893.96,9965.16,9972.72,9839.20,0
25-Mar-2026,9965.17,10106.84,10118.15,9965.17,0
26-Mar-2026,10106.99,9972.17,10106.99,9956.27,728121216
27-Mar-2026,9972.30,9967.35,10024.08,9883.15,715539072
30-Mar-2026,9967.47,10127.96,10135.09,9958.05,754162624
31-Mar-2026,10127.90,10176.45,10245.76,10118.65,887987072
01-Apr-2026,10174.94,10364.79,10396.60,10169.30,983741696
02-Apr-2026,10366.34,10436.29,10465.24,10287.90,840677376
07-Apr-2026,10436.20,10348.79,10487.67,10330.88,740353472
08-Apr-2026,10345.93,10608.88,10687.88,10345.93,1137280640
09-Apr-2026,10609.57,10603.48,10643.61,10552.94,618239168
10-Apr-2026,10603.55,10600.53,10657.56,10576.01,827015424
13-Apr-2026,10601.45,10582.96,10607.69,10528.57,671022976
14-Apr-2026,10581.91,10609.06,10630.39,10569.81,744848384
15-Apr-2026,10609.21,10559.58,10640.00,10559.58,750510592
16-Apr-2026,10559.58,10589.99,10645.90,10555.53,588068608
17-Apr-2026,10590.35,10667.63,10667.63,10548.87,866391168
20-Apr-2026,10668.44,10609.08,10683.65,10583.17,0
21-Apr-2026,10609.37,10498.09,10634.96,10487.85,0
22-Apr-2026,10497.92,10476.46,10523.17,10468.03,755164736
23-Apr-2026,10476.75,10457.01,10477.15,10361.45,680220928
24-Apr-2026,10457.68,10379.08,10462.48,10365.93,563844480
27-Apr-2026,10378.53,10321.09,10410.79,10318.32,0
28-Apr-2026,10321.80,10332.79,10381.92,10288.71,647840384
29-Apr-2026,10332.90,10213.11,10338.25,10188.66,743371904
30-Apr-2026,10213.32,10378.82,10387.55,10205.15,958203136
01-May-2026,10378.35,10363.93,10378.48,10294.20,0
05-May-2026,10365.38,10219.11,10365.38,10164.26,0
06-May-2026,10218.76,10438.66,10488.20,10218.76,940738240
07-May-2026,10438.62,10276.95,10440.55,10276.95,888997568
08-May-2026,10277.40,10233.07,10278.73,10184.99,675997248
11-May-2026,10233.56,10269.43,10286.57,10226.50,811016640
12-May-2026,10271.17,10265.32,10271.17,10152.05,1047283648
13-May-2026,10264.91,10325.35,10360.45,10240.39,0
14-May-2026,10325.17,10372.93,10375.43,10310.16,0
15-May-2026,10375.39,10195.37,10375.73,10163.56,0
18-May-2026,10194.75,10323.75,10337.38,10151.45,0
19-May-2026,10323.69,10330.55,10408.36,10315.38,0
20-May-2026,10330.70,10432.34,10458.30,10279.07,0
21-May-2026,10432.54,10443.47,10471.64,10353.47,0
22-May-2026,10443.11,10466.26,10497.22,10435.53,0
26-May-2026,10465.62,10491.39,10557.16,10461.10,0
27-May-2026,10491.22,10505.01,10522.30,10462.06,0
28-May-2026,10505.38,10425.96,10505.38,10381.21,0
29-May-2026,10425.85,10409.28,10462.22,10409.28,0
01-Jun-2026,10409.34,10338.95,10409.77,10288.90,0